编号!@#文本!@#拆分信息!@#（粗粒度）分词!@#（细粒度）分词!@#（auto粗粒度）分词!@#（auto细粒度）分词!@#词性!@#（auto）词性!@#时间!@#（auto）时间!@#地点!@#术语!@#（auto）地点!@#数量词!@#成分分析!@#（auto）成分分析!@#高阶模板!@#高阶模板类型!@#高阶模板线索词!@#二阶模板!@#二阶模板类型!@#二阶模板线索词!@#选项问句!@#（auto）高阶模板!@#（auto）二阶模板!@#（auto）高阶模板线索词!@#(auto)选项问句!@#（auto）二阶模板线索词!@#（auto）高阶模板类型!@#（auto）二阶模板类型!@#选项类别!@#题干前导类型!@#题干核心类型!@#题干核心动词!@#可删除的套话!@#上下文信息
1-A!@#当好奇号探测车登陆火星表面时，美国肯尼迪航天中心（28°30′N，80°42′W）的区时是	8月5日13时31分!@#None!@#当 好奇号 探测车 登陆 火星 表面 时 ， 美国肯尼迪航天中心 （ 28°30′N ， 80°42′W ） 的 区时 是 8月5日13时31分!@#当 好奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月 5日 13时 31分!@#当 好奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28°30′N ， 80°42′W ） 的 区时 是 8月5日13时31分!@#当 好奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28°30′N ， 80°42′W ） 的 区时 是 8月 5日 13时 31分!@#P NN NN VV loc NN LC PU loc PU num PU num PU DEG NN VC time!@#P NN NN VV NR NN LC PU NR PU NN PU NN PU DEG NN VC NN!@#17!@#17!@#4 8!@#15!@#!@#10 12!@#!@#( (IP (PP (P 当) (LCP (IP (NP (NN 好奇号) (NN 探测车)) (VP (VV 登陆) (NP (NR 火星) (NN 表面)))) (LC 时))) (PU ，) (NP (DNP (NP (NR 美国肯尼迪航天中心) (PRN (PU （) (QP (CD 28°30′N) (PU ，) (CD 80°42′W)) (PU ）))) (DEG 的)) (NP (NN 区时))) (VP (VC 是) (NP (NT 8月5日13时31分)))) )!@#!@#!@#!@#指示_0(美国肯尼迪航天中心（28°30′N，80°42′W）的区时,8月5日13时31分)!@#指示!@#0_16!@#8-17!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#时间状语!@#名词短语+动词短语!@#16!@#!@#
11-B!@#该海区表层海水大规模离岸而去，影响其流动的主要盛行风是	盛行西风!@#None!@#该 海区 表层 海水 大规模 离 岸 而 去 ， 影响 其 流动 的 主要 盛行风 是 盛行西风!@#该 海区 表层 海水 大规模 离 岸 而 去 ， 影响 其 流动 的 主要 盛行风 是 盛行 西风!@#该 海区 表层 海水 大规模 离 岸 而 去 ， 影响 其 流动 的 主要 盛行风 是 盛 行西 风!@#该 海区 表层 海水 大规模 离 岸 而 去 ， 影响 其 流动 的 主要 盛行风 是 盛行西风!@#DT NN JJ NN AD VV NN MSP VV PU VV PN NN DEG JJ term VC term!@#DT NN JJ NN AD VV NN MSP VV PU VV PN NN DEG JJ NN VC NN!@#!@#!@#!@#15 17!@#!@#!@#!@#( (IP (IP (NP (NP (DP (DT 该)) (NP (NN 海区))) (ADJP (JJ 表层)) (NP (NN 海水))) (VP (VP (ADVP (AD 大规模)) (VP (VV 离) (NP (NN 岸)))) (VP (MSP 而) (VP (VV 去))))) (PU ，) (IP (IP (VP (VV 影响) (NP (DNP (NP (NP (PN 其)) (NP (NN 流动))) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 盛行风))))) (VP (VC 是) (NP (NN 盛行西风))))) )!@#影响_0(盛行西风,该海区表层海水的流动,#,大规模离岸而去)!@#影响!@#0_10!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#14!@#
11-C!@#该海区表层海水大规模离岸而去，影响其流动的主要盛行风是	东南信风!@#None!@#该 海区 表层 海水 大规模 离 岸 而 去 ， 影响 其 流动 的 主要 盛行风 是 东南信风!@#该 海区 表层 海水 大规模 离 岸 而 去 ， 影响 其 流动 的 主要 盛行风 是 东南 信风!@#该 海区 表层 海水 大规模 离 岸 而 去 ， 影响 其 流动 的 主要 盛行风 是 东南信风!@#该 海区 表层 海水 大规模 离 岸 而 去 ， 影响 其 流动 的 主要 盛行风 是 东南信风!@#DT NN JJ NN AD VV NN MSP VV PU VV PN NN DEG JJ term VC term!@#DT NN JJ NN AD VV NN MSP VV PU VV PN NN DEG JJ NN VC NN!@#!@#!@#!@#15 17!@#!@#!@#!@#( (IP (IP (NP (NP (DP (DT 该)) (NP (NN 海区))) (ADJP (JJ 表层)) (NP (NN 海水))) (VP (VP (ADVP (AD 大规模)) (VP (VV 离) (NP (NN 岸)))) (VP (MSP 而) (VP (VV 去))))) (PU ，) (IP (IP (VP (VV 影响) (NP (DNP (NP (NP (PN 其)) (NP (NN 流动))) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 盛行风))))) (VP (VC 是) (NP (NN 东南信风))))) )!@#影响_0(东南信风,该海区表层海水的流动,#,大规模离岸而去)!@#影响!@#0_10!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#14!@#
11-D!@#该海区表层海水大规模离岸而去，影响其流动的主要盛行风是	东南季风!@#None!@#该 海区 表层 海水 大规模 离 岸 而 去 ， 影响 其 流动 的 主要 盛行风 是 东南季风!@#该 海区 表层 海水 大规模 离 岸 而 去 ， 影响 其 流动 的 主要 盛行风 是 东南 季风!@#该 海区 表层 海水 大规模 离 岸 而 去 ， 影响 其 流动 的 主要 盛行风 是 东南季风!@#该 海区 表层 海水 大规模 离 岸 而 去 ， 影响 其 流动 的 主要 盛行风 是 东南季风!@#DT NN JJ NN AD VV NN MSP VV PU VV PN NN DEG JJ term VC term!@#DT NN JJ NN AD VV NN MSP VV PU VV PN NN DEG JJ NN VC NN!@#!@#!@#!@#15 17!@#!@#!@#!@#( (IP (IP (NP (NP (DP (DT 该)) (NP (NN 海区))) (ADJP (JJ 表层)) (NP (NN 海水))) (VP (VP (ADVP (AD 大规模)) (VP (VV 离) (NP (NN 岸)))) (VP (MSP 而) (VP (VV 去))))) (PU ，) (IP (IP (VP (VV 影响) (NP (DNP (NP (NP (PN 其)) (NP (NN 流动))) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 盛行风))))) (VP (VC 是) (NP (NN 东南季风))))) )!@#影响_0(东南季风,该海区表层海水的流动,#,大规模离岸而去)!@#影响!@#0_10!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#14!@#
12-A!@#该地花岗岩石林地貌形成过程依次是	地壳抬升－风化、侵蚀－岩浆侵入!@#None!@#该 地 花岗岩 石林 地貌 形成 过程 依次 是 地壳抬升 － 风化 、 侵蚀 － 岩浆侵入!@#该 地 花岗岩 石林 地貌 形成 过程 依次 是 地壳 抬升 － 风化 、 侵蚀 － 岩浆 侵入!@#该 地 花岗岩 石林 地貌 形成 过程 依次 是 地壳抬升 － 风化 、 侵蚀 － 岩浆侵入!@#该 地 花岗岩 石林 地貌 形成 过程 依次 是 地壳抬升 － 风化 、 侵蚀 － 岩浆侵入!@#DT NN term NN NN VV NN AD VC term PU term PU term PU term!@#DT NN NN NN NN VV NN AD VC NN PU NN PU NN PU NN!@#!@#!@#!@#2 3 4 9 11 13 15!@#!@#!@#!@#( (IP (NP (NP (DP (DT 该)) (NP (NN 地))) (NP (NN 花岗岩) (NN 石林)) (NP (NN 地貌))) (VP (VP (VV 形成) (NP (NN 过程))) (VP (ADVP (AD 依次)) (VP (VC 是) (NP (NN 地壳抬升) (PU －) (NN 风化) (PU 、) (NN 侵蚀) (PU －) (NN 岩浆侵入)))))) )!@#!@#!@#!@#指示_0(该地花岗岩石林地貌形成过程,地壳抬升－风化、侵蚀－岩浆侵入)!@#指示!@#0_7-8!@#0-15!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#null!@#名词短语+动词短语!@#8!@#!@#
12-B!@#该地花岗岩石林地貌形成过程依次是	岩浆侵入地壳抬升－风化、侵蚀!@#None!@#该 地 花岗岩 石林 地貌 形成 过程 依次 是 岩浆侵入 地壳抬升 － 风化 、 侵蚀!@#该 地 花岗岩 石林 地貌 形成 过程 依次 是 岩浆 侵入 地壳 抬升 － 风化 、 侵蚀!@#该 地 花岗岩 石林 地貌 形成 过程 依次 是 岩浆侵入 地壳抬升 － 风化 、 侵蚀!@#该 地 花岗岩 石林 地貌 形成 过程 依次 是 岩浆侵入 地壳抬升 － 风化 、 侵蚀!@#DT NN term NN NN VV NN AD VC term term PU term PU term!@#DT NN NN NN NN VV NN AD VC NN NN PU NN PU NN!@#!@#!@#!@#2 3 4 9 10 12 14!@#!@#!@#!@#( (IP (NP (NP (DP (DT 该)) (NP (NN 地))) (NP (NN 花岗岩) (NN 石林)) (NP (NN 地貌))) (VP (VP (VV 形成) (NP (NN 过程))) (VP (ADVP (AD 依次)) (VP (VC 是) (NP (NN 岩浆侵入) (NN 地壳抬升) (PU －) (NN 风化) (PU 、) (NN 侵蚀)))))) )!@#!@#!@#!@#指示_0(该地花岗岩石林地貌形成过程,岩浆侵入地壳抬升－风化、侵蚀)!@#指示!@#0_7-8!@#0-14!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#!@#
12-C!@#该地花岗岩石林地貌形成过程依次是	地壳抬升－岩浆侵入－固结成岩!@#None!@#该 地 花岗岩 石林 地貌 形成 过程 依次 是 地壳抬升 － 岩浆侵入 － 固结成岩!@#该 地 花岗岩 石林 地貌 形成 过程 依次 是 地壳 抬升 － 岩浆 侵入 － 固结 成岩!@#该 地 花岗岩 石林 地貌 形成 过程 依次 是 地壳抬升 － 岩浆侵入 － 固结成岩!@#该 地 花岗岩 石林 地貌 形成 过程 依次 是 地壳抬升 － 岩浆侵入 － 固结成岩!@#DT NN term NN NN VV NN AD VC term PU term PU term!@#DT NN NN NN NN VV NN AD VC NN PU NN PU NN!@#!@#!@#!@#2 3 4 9 11 13!@#!@#!@#!@#( (IP (NP (NP (DP (DT 该)) (NP (NN 地))) (NP (NN 花岗岩) (NN 石林)) (NP (NN 地貌))) (VP (VP (VV 形成) (NP (NN 过程))) (VP (ADVP (AD 依次)) (VP (VC 是) (NP (NN 地壳抬升) (PU －) (NN 岩浆侵入) (PU －) (NN 固结成岩)))))) )!@#!@#!@#!@#指示_0(该地花岗岩石林地貌形成过程,地壳抬升－岩浆侵入－固结成岩)!@#指示!@#0_7-8!@#0-13!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#!@#
12-D!@#该地花岗岩石林地貌形成过程依次是	风化、侵蚀－岩浆侵入－地壳抬升!@#None!@#该 地 花岗岩 石林 地貌 形成 过程 依次 是 风化 、 侵蚀 － 岩浆侵入 － 地壳抬升!@#该 地 花岗岩 石林 地貌 形成 过程 依次 是 风化 、 侵蚀 － 岩浆 侵入 － 地壳 抬升!@#该 地 花岗岩 石林 地貌 形成 过程 依次 是 风化 、 侵蚀 － 岩浆侵入 － 地壳抬升!@#该 地 花岗岩 石林 地貌 形成 过程 依次 是 风化 、 侵蚀 － 岩浆侵入 － 地壳抬升!@#DT NN term NN NN VV NN AD VC term PU term PU term PU term!@#DT NN NN NN NN VV NN AD VC NN PU NN PU NN PU NN!@#!@#!@#!@#2 3 4 9 11 13 15!@#!@#!@#!@#( (IP (NP (NP (DP (DT 该)) (NP (NN 地))) (NP (NN 花岗岩) (NN 石林)) (NP (NN 地貌))) (VP (VP (VV 形成) (NP (NN 过程))) (VP (ADVP (AD 依次)) (VP (VC 是) (NP (NN 风化) (PU 、) (NN 侵蚀) (PU －) (NN 岩浆侵入) (PU －) (NN 地壳抬升)))))) )!@#!@#!@#!@#指示_0(该地花岗岩石林地貌形成过程,风化、侵蚀－岩浆侵入－地壳抬升)!@#指示!@#0_7-8!@#0-15!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#!@#
13-A!@#该地质公园所处的地理环境具有明显的过渡性，表现为	森林向草原过渡!@#None!@#该 地质 公园 所处 的 地理 环境 具有 明显 的 过渡性 ， 表现 为 森林 向 草原 过渡!@#该 地质 公园 所处 的 地理 环境 具有 明显 的 过渡性 ， 表现 为 森林 向 草原 过渡!@#该 地质 公园 所处 的 地理 环境 具有 明显 的 过渡性 ， 表现 为 森林 向 草原 过渡!@#该 地质 公园 所处 的 地理 环境 具有 明显 的 过渡性 ， 表现 为 森林 向 草原 过渡!@#DT NN NN VV DEC NN NN VV VA DEC NN PU VV VV NN P term VV!@#DT NN NN VV DEC NN NN VV VA DEC NN PU VV VV NN P NN VV!@#!@#!@#!@#16!@#!@#!@#!@#( (IP (NP (CP (IP (NP (DP (DT 该)) (NP (NN 地质) (NN 公园))) (VP (VV 所处))) (DEC 的)) (NP (NN 地理) (NN 环境))) (VP (VP (VV 具有) (NP (CP (IP (VP (VA 明显))) (DEC 的)) (NP (NN 过渡性)))) (PU ，) (VP (VRD (VV 表现) (VV 为)) (NP (NN 森林)) (IP (VP (PP (P 向) (NP (NN 草原))) (VP (VV 过渡))))))) )!@#其他关联_0(该地质公园所处的地理环境,表现为,森林向草原过渡)!@#其他关联!@#0_12!@#变化_0(森林,向草原,过渡)!@#变化!@#0_17!@#14-17!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#陈述句!@#动词短语!@#12-13!@#8-9!@#
13-B!@#该地质公园所处的地理环境具有明显的过渡性，表现为	湿润区向半湿润区过渡!@#None!@#该 地质 公园 所处 的 地理 环境 具有 明显 的 过渡性 ， 表现 为 湿润区 向 半湿润区 过渡!@#该 地质 公园 所处 的 地理 环境 具有 明显 的 过渡性 ， 表现 为 湿润 区 向 半 湿润 区 过渡!@#该 地质 公园 所处 的 地理 环境 具有 明显 的 过渡性 ， 表现 为 湿润区 向 半湿润区 过渡!@#该 地质 公园 所处 的 地理 环境 具有 明显 的 过渡性 ， 表现 为 湿润区 向 半湿润区 过渡!@#DT NN NN VV DEC NN NN VV VA DEC NN PU VV VV term P term VV!@#DT NN NN VV DEC NN NN VV VA DEC NN PU VV VV NN P NN VV!@#!@#!@#!@#14 16!@#!@#!@#!@#( (IP (NP (CP (IP (NP (DP (DT 该)) (NP (NN 地质) (NN 公园))) (VP (VV 所处))) (DEC 的)) (NP (NN 地理) (NN 环境))) (VP (VP (VV 具有) (NP (CP (IP (VP (VA 明显))) (DEC 的)) (NP (NN 过渡性)))) (PU ，) (VP (VP (VRD (VV 表现) (VV 为)) (NP (NN 湿润区))) (VP (PP (P 向) (NP (NN 半湿润区))) (VP (VV 过渡)))))) )!@#其他关联_0(该地质公园所处的地理环境,表现为,湿润区向半湿润区过渡)!@#其他关联!@#0_12!@#变化_0(湿润区,向半湿润区,过渡)!@#变化!@#0_17!@#14-17!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#8-9!@#
13-C!@#该地质公园所处的地理环境具有明显的过渡性，表现为	水田向旱地过渡!@#None!@#该 地质 公园 所处 的 地理 环境 具有 明显 的 过渡性 ， 表现 为 水田 向 旱地 过渡!@#该 地质 公园 所处 的 地理 环境 具有 明显 的 过渡性 ， 表现 为 水田 向 旱地 过渡!@#该 地质 公园 所处 的 地理 环境 具有 明显 的 过渡性 ， 表现 为 水田 向 旱地 过渡!@#该 地质 公园 所处 的 地理 环境 具有 明显 的 过渡性 ， 表现 为 水田 向 旱地 过渡!@#DT NN NN VV DEC NN NN VV VA DEC NN PU VV VV NN P NN VV!@#DT NN NN VV DEC NN NN VV VA DEC NN PU VV VV NN P NN VV!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (CP (IP (NP (DP (DT 该)) (NP (NN 地质) (NN 公园))) (VP (VV 所处))) (DEC 的)) (NP (NN 地理) (NN 环境))) (VP (VP (VV 具有) (NP (CP (IP (VP (VA 明显))) (DEC 的)) (NP (NN 过渡性)))) (PU ，) (VP (VP (VRD (VV 表现) (VV 为)) (NP (NN 水田))) (VP (PP (P 向) (NP (NN 旱地))) (VP (VV 过渡)))))) )!@#其他关联_0(该地质公园所处的地理环境,表现为,水田向旱地过渡)!@#其他关联!@#0_12-13!@#变化_0(水田,向旱地,过渡)!@#变化!@#0_17!@#14-17!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#8-9!@#
13-D!@#该地质公园所处的地理环境具有明显的过渡性，表现为	平原向山地过渡!@#None!@#该 地质 公园 所处 的 地理 环境 具有 明显 的 过渡性 ， 表现 为 平原 向 山地 过渡!@#该 地质 公园 所处 的 地理 环境 具有 明显 的 过渡性 ， 表现 为 平原 向 山地 过渡!@#该 地质 公园 所处 的 地理 环境 具有 明显 的 过渡性 ， 表现 为 平原 向 山地 过渡!@#该 地质 公园 所处 的 地理 环境 具有 明显 的 过渡性 ， 表现 为 平原 向 山地 过渡!@#DT NN NN VV DEC NN NN VV VA DEC NN PU VV VV NN P term VV!@#DT NN NN VV DEC NN NN VV VA DEC NN PU VV VV NN P NN VV!@#!@#!@#!@#16!@#!@#!@#!@#( (IP (NP (CP (IP (NP (DP (DT 该)) (NP (NN 地质) (NN 公园))) (VP (VV 所处))) (DEC 的)) (NP (NN 地理) (NN 环境))) (VP (VP (VV 具有) (NP (CP (IP (VP (VA 明显))) (DEC 的)) (NP (NN 过渡性)))) (PU ，) (VP (VRD (VV 表现) (VV 为)) (NP (NN 平原)) (IP (VP (PP (P 向) (NP (NN 山地))) (VP (VV 过渡))))))) )!@#其他关联_0(该地质公园所处的地理环境,表现为,平原向山地过渡)!@#其他关联!@#0_12-13!@#变化_0(平原,向山地,过渡)!@#变化!@#0_17!@#14-17!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#8-9!@#
14-A!@#图示农业生产基地在发展的过程中存在相同制约因素的是	①②!@#None!@#图示 农业 生产 基地 在 发展 的 过程 中 存在 相同 制约 因素 的 是 ① ②!@#图示 农业 生产 基地 在 发展 的 过程 中 存在 相同 制约 因素 的 是 ① ②!@#图示 农业 生产 基地 在 发展 的 过程 中 存在 相同 制约 因素 的 是 ① ②!@#图示 农业 生产 基地 在 发展 的 过程 中 存在 相同 制约 因素 的 是 ① ②!@#VA NN NN NN P NN DEG NN LC VV VA NN NN DEC VC NN NN!@#VV NN NN NN P NN DEG NN LC VV VA NN NN DEC VC NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (CP (IP (NP (CP (VP (VA 图示))) (NP (NN 农业) (NN 生产) (NN 基地))) (VP (PP (P 在) (LCP (NP (DNP (NP (NN 发展)) (DEG 的)) (NP (NN 过程))) (LC 中))) (VP (VV 存在) (NP (CP (VP (VA 相同))) (NP (NN 制约) (NN 因素)))))) (DEC 的))) (VP (VC 是) (NP (NN ①) (NN ②)))) )!@#!@#!@#!@#指示_0(农业生产基地在发展的过程中存在相同制约因素的,①②)!@#指示!@#0_14!@#1-16!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#null!@#名词短语+动词短语!@#14!@#0!@#
14-B!@#图示农业生产基地在发展的过程中存在相同制约因素的是	②③!@#None!@#图示 农业 生产 基地 在 发展 的 过程 中 存在 相同 制约 因素 的 是 ② ③!@#图示 农业 生产 基地 在 发展 的 过程 中 存在 相同 制约 因素 的 是 ② ③!@#图示 农业 生产 基地 在 发展 的 过程 中 存在 相同 制约 因素 的 是 ② ③!@#图示 农业 生产 基地 在 发展 的 过程 中 存在 相同 制约 因素 的 是 ② ③!@#VA NN NN NN P NN DEG NN LC VV VA NN NN DEC VC NN NN!@#VV NN NN NN P NN DEG NN LC VV VA NN NN DEC VC NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (CP (IP (NP (CP (VP (VA 图示))) (NP (NN 农业) (NN 生产) (NN 基地))) (VP (PP (P 在) (LCP (NP (DNP (NP (NN 发展)) (DEG 的)) (NP (NN 过程))) (LC 中))) (VP (VV 存在) (NP (CP (VP (VA 相同))) (NP (NN 制约) (NN 因素)))))) (DEC 的))) (VP (VC 是) (NP (NN ②) (NN ③)))) )!@#!@#!@#!@#指示_0(农业生产基地在发展的过程中存在相同制约因素的,②③)!@#指示!@#0_14!@#1-16!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#0!@#
14-C!@#图示农业生产基地在发展的过程中存在相同制约因素的是	③④!@#None!@#图示 农业 生产 基地 在 发展 的 过程 中 存在 相同 制约 因素 的 是 ③ ④!@#图示 农业 生产 基地 在 发展 的 过程 中 存在 相同 制约 因素 的 是 ③ ④!@#图示 农业 生产 基地 在 发展 的 过程 中 存在 相同 制约 因素 的 是 ③ ④!@#图示 农业 生产 基地 在 发展 的 过程 中 存在 相同 制约 因素 的 是 ③ ④!@#VA NN NN NN P NN DEG NN LC VV VA NN NN DEC VC NN NN!@#VV NN NN NN P NN DEG NN LC VV VA NN NN DEC VC NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (CP (IP (NP (CP (VP (VA 图示))) (NP (NN 农业) (NN 生产) (NN 基地))) (VP (PP (P 在) (LCP (NP (DNP (NP (NN 发展)) (DEG 的)) (NP (NN 过程))) (LC 中))) (VP (VV 存在) (NP (CP (VP (VA 相同))) (NP (NN 制约) (NN 因素)))))) (DEC 的))) (VP (VC 是) (NP (NN ③) (NN ④)))) )!@#!@#!@#!@#指示_0(农业生产基地在发展的过程中存在相同制约因素的,③④)!@#指示!@#0_14!@#1-16!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#0!@#
14-D!@#图示农业生产基地在发展的过程中存在相同制约因素的是	①④!@#None!@#图示 农业 生产 基地 在 发展 的 过程 中 存在 相同 制约 因素 的 是 ① ④!@#图示 农业 生产 基地 在 发展 的 过程 中 存在 相同 制约 因素 的 是 ① ④!@#图示 农业 生产 基地 在 发展 的 过程 中 存在 相同 制约 因素 的 是 ① ④!@#图示 农业 生产 基地 在 发展 的 过程 中 存在 相同 制约 因素 的 是 ① ④!@#VA NN NN NN P NN DEG NN LC VV VA NN NN DEC VC NN NN!@#VV NN NN NN P NN DEG NN LC VV VA NN NN DEC VC NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (CP (IP (NP (CP (VP (VA 图示))) (NP (NN 农业) (NN 生产) (NN 基地))) (VP (PP (P 在) (LCP (NP (DNP (NP (NN 发展)) (DEG 的)) (NP (NN 过程))) (LC 中))) (VP (VV 存在) (NP (CP (VP (VA 相同))) (NP (NN 制约) (NN 因素)))))) (DEC 的))) (VP (VC 是) (NP (NN ①) (NN ④)))) )!@#!@#!@#!@#指示_0(农业生产基地在发展的过程中存在相同制约因素的,①④)!@#指示!@#0_14!@#1-16!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#0!@#
15-A!@#⑤为黄土高原农业果业基地，其最大的生态效益是	防风固沙!@#None!@#⑤ 为 黄土高原 农业 果业 基地 ， 其 最 大 的 生态 效益 是 防风固沙!@#⑤ 为 黄土 高原 农业 果业 基地 ， 其 最 大 的 生态 效益 是 防风固沙!@#⑤ 为 黄土高原 农业 果业 基地 ， 其 最 大 的 生态 效益 是 防风固沙!@#⑤ 为 黄土高原 农业 果业 基地 ， 其 最 大 的 生态 效益 是 防风固沙!@#NN VC VV NN NN NN PU PN AD VA DEC NN NN VC VV!@#NN VC NN NN NN NN PU PN AD VA DEC NN NN VC VV!@#!@#!@#2!@#11-12!@#!@#!@#!@#( (IP (IP (NP (NN ⑤)) (VP (VC 为) (NP (CP (IP (VV 黄土高原))) (NP (NN 农业) (NN 果业) (NN 基地))))) (PU ，) (IP (NP (NP (PN 其)) (CP (IP (VP (ADVP (AD 最)) (VP (VA 大)))) (DEC 的)) (NP (NN 生态) (NN 效益))) (VP (VC 是) (VP (VV 防风固沙))))) )!@#!@#!@#!@#指示_0(其最大的生态效益,防风固沙)!@#指示!@#0_13!@#7-14!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#陈述句!@#名词短语+动词短语!@#13!@#!@#
15-B!@#⑤为黄土高原农业果业基地，其最大的生态效益是	涵养水源!@#None!@#⑤ 为 黄土高原 农业 果业 基地 ， 其 最 大 的 生态 效益 是 涵养 水源!@#⑤ 为 黄土 高原 农业 果业 基地 ， 其 最 大 的 生态 效益 是 涵养 水源!@#⑤ 为 黄土高原 农业 果业 基地 ， 其 最 大 的 生态 效益 是 涵养 水源!@#⑤ 为 黄土高原 农业 果业 基地 ， 其 最 大 的 生态 效益 是 涵养 水源!@#NN VC loc NN NN NN PU PN AD VA DEC NN NN VC VV NN!@#NN VC NN NN NN NN PU PN AD VA DEC NN NN VC VV NN!@#!@#!@#2!@#11-12!@#!@#!@#!@#( (IP (IP (NP (NN ⑤)) (VP (VC 为) (NP (NP (NR 黄土高原)) (NP (NN 农业) (NN 果业) (NN 基地))))) (PU ，) (IP (NP (NP (PN 其)) (CP (IP (VP (ADVP (AD 最)) (VP (VA 大)))) (DEC 的)) (NP (NN 生态) (NN 效益))) (VP (VC 是) (NP (IP (VP (VV 涵养))) (NP (NN 水源)))))) )!@#!@#!@#!@#指示_0(其最大的生态效益,涵养水源)!@#指示!@#0_13!@#7-15!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#!@#
15-C!@#⑤为黄土高原农业果业基地，其最大的生态效益是	保持水土!@#None!@#⑤ 为 黄土高原 农业 果业 基地 ， 其 最 大 的 生态 效益 是 保持 水土!@#⑤ 为 黄土 高原 农业 果业 基地 ， 其 最 大 的 生态 效益 是 保持 水土!@#⑤ 为 黄土高原 农业 果业 基地 ， 其 最 大 的 生态 效益 是 保持 水土!@#⑤ 为 黄土高原 农业 果业 基地 ， 其 最 大 的 生态 效益 是 保持 水土!@#NN VC loc NN NN NN PU PN AD VA DEC NN NN VC VV NN!@#NN VC NN NN NN NN PU PN AD VA DEC NN NN VC VV NN!@#!@#!@#2!@#11-12!@#!@#!@#!@#( (IP (IP (NP (NN ⑤)) (VP (VC 为) (NP (NP (NR 黄土高原)) (NP (NN 农业) (NN 果业) (NN 基地))))) (PU ，) (IP (NP (NP (PN 其)) (CP (IP (VP (ADVP (AD 最)) (VP (VA 大)))) (DEC 的)) (NP (NN 生态) (NN 效益))) (VP (VC 是) (IP (VP (VV 保持) (NP (NN 水土))))))) )!@#!@#!@#!@#指示_0(其最大的生态效益,保持水土)!@#指示!@#0_13!@#7-15!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#!@#
