编号!@#文本!@#拆分信息!@#（粗粒度）分词!@#（细粒度）分词!@#（auto粗粒度）分词!@#（auto细粒度）分词!@#词性!@#（auto）词性!@#时间!@#（auto）时间!@#地点!@#术语!@#（auto）地点!@#数量词!@#成分分析!@#（auto）成分分析!@#高阶模板!@#高阶模板类型!@#高阶模板线索词!@#二阶模板!@#二阶模板类型!@#二阶模板线索词!@#选项问句!@#（auto）高阶模板!@#（auto）二阶模板!@#（auto）高阶模板线索词!@#(auto)选项问句!@#（auto）二阶模板线索词!@#（auto）高阶模板类型!@#（auto）二阶模板类型!@#选项类别!@#题干前导类型!@#题干核心类型!@#题干核心动词!@#可删除的套话!@#上下文信息
1-A!@#图1中	帕斯位于Q地的西北方向!@#None!@#图1 中 帕斯 位于 Q地 的 西北 方向!@#图1 中 帕斯 位于 Q地 的 西北 方向!@#图1 中 帕斯 位于 Q地 的 西北 方向!@#图1 中 帕斯 位于 Q地 的 西北 方向!@#NN LC loc VV loc DEG NN NN!@#NN LC NR VV NN DEG NN NN!@#!@#!@#2 4!@#!@#4!@#!@#!@#( (IP (NP (LCP (NP (NN 图1)) (LC 中)) (NP (NR 帕斯))) (VP (VV 位于) (NP (DNP (NP (NR Q地)) (DEG 的)) (NP (NN 西北) (NN 方向))))) )!@#!@#!@#!@#其他陈述_0(帕斯,位于,Q地的西北方向)!@#其他陈述!@#!@#2-7!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#null!@#范围限定!@#!@#0-1!@#
10-③-0!@#城市内涝的发生与城市“雨岛效应”密切相关。“雨岛效应”成因主要有	城市化挤占湖泊河道!@#ed-ori!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 城市化 挤占 湖泊 河道!@#城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 城市化 挤占 湖泊 河道!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 城市化 挤占 湖泊 河道!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 城市化 挤占 湖泊 河道!@#NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE NN VV NN NN!@#NN NN DEG NN CC NN PU NN PU AD VA PU PU NN PU NN AD VE NN VV NN NN!@#!@#!@#!@#1 7 13!@#!@#!@#!@#( (IP (IP (NP (NP (DNP (NP (NN 城市) (NN 内涝)) (DEG 的)) (NP (NN 发生))) (CC 与) (NP (NP (NN 城市)) (NP (PU “) (NN 雨岛效应) (PU ”)))) (VP (ADVP (AD 密切)) (VP (VA 相关)))) (PU 。) (IP (NP (NP (PU “) (NN 雨岛效应) (PU ”)) (NP (NN 成因))) (VP (ADVP (AD 主要)) (VP (VE 有) (NP (IP (NP (NN 城市化)) (VP (VV 挤占))) (NP (NN 湖泊) (NN 河道))))))) )!@#原因_0(“雨岛效应”,城市化挤占湖泊河道)!@#原因!@#0_15!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#16!@#0-10
10-③-1!@#城市内涝的发生与城市“雨岛效应”密切相关。“雨岛效应”成因主要有	调蓄洪峰能力下降!@#ed-ori!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 调蓄 洪峰 能力 下降!@#城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 调蓄 洪峰 能力 下降!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 调蓄 洪峰 能力 下降!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 调蓄 洪峰 能力 下降!@#NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE VV NN NN VV!@#NN NN DEG NN CC NN PU NN PU AD VA PU PU NN PU NN AD VE VV NN NN VV!@#!@#!@#!@#1 7 13!@#!@#!@#!@#( (IP (IP (NP (NP (DNP (NP (NN 城市) (NN 内涝)) (DEG 的)) (NP (NN 发生))) (CC 与) (NP (NP (NN 城市)) (NP (PU “) (NN 雨岛效应) (PU ”)))) (VP (ADVP (AD 密切)) (VP (VA 相关)))) (PU 。) (IP (NP (NP (PU “) (NN 雨岛效应) (PU ”)) (NP (NN 成因))) (VP (ADVP (AD 主要)) (VP (VE 有) (IP (NP (IP (VP (VV 调蓄) (NP (NN 洪峰)))) (NP (NN 能力))) (VP (VV 下降))))))) )!@#原因_0(“雨岛效应”,调蓄洪峰能力下降)!@#原因!@#0_15!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#16!@#0-10
10-④!@#城市内涝的发生与城市“雨岛效应”密切相关。“雨岛效应”成因主要有	空气污染严重，凝结核充足!@#y!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 空气 污染 严重 ， 凝结核 充足!@#城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 空气 污染 严重 ， 凝结核 充足!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 空气 污染 严重 ， 凝结核 充足!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 空气 污染 严重 ， 凝结核 充足!@#NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE NN NN VA PU NN VA!@#NN NN DEG NN CC NN PU NN PU AD VA PU PU NN PU NN AD VE NN NN VA PU NN VA!@#!@#!@#!@#1 7 13!@#!@#!@#!@#( (IP (IP (NP (NP (DNP (NP (NN 城市) (NN 内涝)) (DEG 的)) (NP (NN 发生))) (CC 与) (NP (NP (NN 城市)) (NP (PU “) (NN 雨岛效应) (PU ”)))) (VP (ADVP (AD 密切)) (VP (VA 相关)))) (PU 。) (IP (IP (NP (NP (PU “) (NN 雨岛效应) (PU ”)) (NP (NN 成因))) (VP (ADVP (AD 主要)) (VP (VE 有) (NP (NN 空气))))) (IP (NP (NN 污染)) (VP (VA 严重)))) (PU ，) (NP (NN 凝结核)) (VP (VA 充足))) )!@#原因_0(“雨岛效应”,空气污染严重)原因_1(“雨岛效应”,凝结核充足)!@#原因!@#0_15 1_15!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#16!@#0-10
10-④-0!@#城市内涝的发生与城市“雨岛效应”密切相关。“雨岛效应”成因主要有	空气污染严重!@#ed-ori!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 空气 污染 严重!@#城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 空气 污染 严重!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 空气 污染 严重!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 空气 污染 严重!@#NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE NN NN VA!@#NN NN DEG NN CC NN PU NN PU AD VA PU PU NN PU NN AD VE NN NN VA!@#!@#!@#!@#1 7 13!@#!@#!@#!@#( (IP (IP (NP (NP (DNP (NP (NN 城市) (NN 内涝)) (DEG 的)) (NP (NN 发生))) (CC 与) (NP (NP (NN 城市)) (NP (PU “) (NN 雨岛效应) (PU ”)))) (VP (ADVP (AD 密切)) (VP (VA 相关)))) (PU 。) (IP (IP (NP (NP (PU “) (NN 雨岛效应) (PU ”)) (NP (NN 成因))) (VP (ADVP (AD 主要)) (VP (VE 有) (NP (NN 空气))))) (IP (NP (NN 污染)) (VP (VA 严重))))) )!@#原因_0(“雨岛效应”,空气污染严重)!@#原因!@#0_15!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#16!@#0-10
10-④-1!@#城市内涝的发生与城市“雨岛效应”密切相关。“雨岛效应”成因主要有	凝结核充足!@#ed-ori!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 凝结核 充足!@#城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 凝结核 充足!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 凝结核 充足!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 凝结核 充足!@#NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE NN VA!@#NN NN DEG NN CC NN PU NN PU AD VA PU PU NN PU NN AD VE NN VA!@#!@#!@#!@#1 7 13!@#!@#!@#!@#( (IP (IP (NP (NP (DNP (NP (NN 城市) (NN 内涝)) (DEG 的)) (NP (NN 发生))) (CC 与) (NP (NP (NN 城市)) (NP (PU “) (NN 雨岛效应) (PU ”)))) (VP (ADVP (AD 密切)) (VP (VA 相关)))) (PU 。) (IP (NP (NP (PU “) (NN 雨岛效应) (PU ”)) (NP (NN 成因))) (VP (ADVP (AD 主要)) (VP (VE 有) (IP (NP (NN 凝结核)) (VP (VA 充足))))))) )!@#原因_0(“雨岛效应”,凝结核充足)!@#原因!@#0_15!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#16!@#0-10
10-⑤!@#城市内涝的发生与城市“雨岛效应”密切相关。“雨岛效应”成因主要有	高大建筑物密集，风速减小，降水云系滞留!@#y!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 高大 建筑物 密集 ， 风速 减小 ， 降水 云系 滞留!@#城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 高大 建筑物 密集 ， 风速 减小 ， 降水 云系 滞留!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 高大 建筑物 密集 ， 风速 减小 ， 降水 云系 滞留!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 高大 建筑物 密集 ， 风速 减小 ， 降水 云系 滞留!@#NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE JJ NN VA PU NN VV PU NN NN VV!@#NN NN DEG NN CC NN PU NN PU AD VA PU PU NN PU NN AD VE JJ NN VA PU NN VV PU NN NN NN!@#!@#!@#!@#1 7 13!@#!@#!@#!@#( (IP (IP (NP (NP (DNP (NP (NN 城市) (NN 内涝)) (DEG 的)) (NP (NN 发生))) (CC 与) (NP (NP (NN 城市)) (NP (PU “) (NN 雨岛效应) (PU ”)))) (VP (ADVP (AD 密切)) (VP (VA 相关)))) (PU 。) (IP (NP (NP (PU “) (NN 雨岛效应) (PU ”)) (NP (NN 成因))) (VP (ADVP (AD 主要)) (VP (VE 有) (IP (NP (ADJP (JJ 高大)) (NP (NN 建筑物))) (VP (VA 密集)))))) (PU ，) (IP (NP (NN 风速)) (VP (VV 减小))) (PU ，) (IP (NP (NN 降水) (NN 云系)) (VP (VV 滞留)))) )!@#原因_0(“雨岛效应”,高大建筑物密集)原因_1(“雨岛效应”,风速减小)原因_2(“雨岛效应”,降水云系滞留)!@#原因!@#0_15 1_15 2_15!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#16!@#0-10
10-⑤-0!@#城市内涝的发生与城市“雨岛效应”密切相关。“雨岛效应”成因主要有	高大建筑物密集!@#ed-ori!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 高大 建筑物 密集!@#城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 高大 建筑物 密集!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 高大 建筑物 密集!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 高大 建筑物 密集!@#NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE JJ NN VA!@#NN NN DEG NN CC NN PU NN PU AD VA PU PU NN PU NN AD VE JJ NN VA!@#!@#!@#!@#1 7 13!@#!@#!@#!@#( (IP (IP (NP (NP (DNP (NP (NN 城市) (NN 内涝)) (DEG 的)) (NP (NN 发生))) (CC 与) (NP (NP (NN 城市)) (NP (PU “) (NN 雨岛效应) (PU ”)))) (VP (ADVP (AD 密切)) (VP (VA 相关)))) (PU 。) (IP (NP (NP (PU “) (NN 雨岛效应) (PU ”)) (NP (NN 成因))) (VP (ADVP (AD 主要)) (VP (VE 有) (IP (NP (ADJP (JJ 高大)) (NP (NN 建筑物))) (VP (VA 密集))))))) )!@#原因_0(“雨岛效应”,高大建筑物密集)!@#原因!@#0_15!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#16!@#0-10
10-⑤-1!@#城市内涝的发生与城市“雨岛效应”密切相关。“雨岛效应”成因主要有	风速减小!@#ed-ori!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 风速 减小!@#城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 风速 减小!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 风速 减小!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 风速 减小!@#NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE NN VV!@#NN NN DEG NN CC NN PU NN PU AD VA PU PU NN PU NN AD VE NN VV!@#!@#!@#!@#1 7 13!@#!@#!@#!@#( (IP (IP (NP (NP (DNP (NP (NN 城市) (NN 内涝)) (DEG 的)) (NP (NN 发生))) (CC 与) (NP (NP (NN 城市)) (NP (PU “) (NN 雨岛效应) (PU ”)))) (VP (ADVP (AD 密切)) (VP (VA 相关)))) (PU 。) (IP (NP (NP (PU “) (NN 雨岛效应) (PU ”)) (NP (NN 成因))) (VP (ADVP (AD 主要)) (VP (VE 有) (IP (NP (NN 风速)) (VP (VV 减小))))))) )!@#原因_0(“雨岛效应”,风速减小)!@#原因!@#0_15!@#!@#!@#!@#18-19!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#16!@#0-10
10-⑤-2!@#城市内涝的发生与城市“雨岛效应”密切相关。“雨岛效应”成因主要有	降水云系滞留!@#ed-ori!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 降水 云系 滞留!@#城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 降水 云系 滞留!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 降水 云系 滞留!@#城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 降水 云系 滞留!@#NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE NN NN VV!@#NN NN DEG NN CC NN PU NN PU AD VA PU PU NN PU NN AD VE NN NN NN!@#!@#!@#!@#1 7 13!@#!@#!@#!@#( (IP (IP (NP (NP (DNP (NP (NN 城市) (NN 内涝)) (DEG 的)) (NP (NN 发生))) (CC 与) (NP (NP (NN 城市)) (NP (PU “) (NN 雨岛效应) (PU ”)))) (VP (ADVP (AD 密切)) (VP (VA 相关)))) (PU 。) (IP (NP (NP (PU “) (NN 雨岛效应) (PU ”)) (NP (NN 成因))) (VP (ADVP (AD 主要)) (VP (VE 有) (IP (NP (NN 降水) (NN 云系)) (VP (VV 滞留))))))) )!@#原因_0(“雨岛效应”,降水云系滞留)!@#原因!@#0_15!@#!@#!@#!@#18-20!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#16!@#0-10
11-A!@#以下诗词描述的景观适宜采用的欣赏方法是	“夕阳无限好，只是近黄昏”——以情观景，情景交融!@#n!@#以下 诗词 描述 的 景观 适宜 采用 的 欣赏 方法 是 “ 夕阳 无限 好 ， 只是 近 黄昏 ” — — 以 情 观景 ， 情景 交融!@#以下 诗词 描述 的 景观 适宜 采用 的 欣赏 方法 是 “ 夕阳 无限 好 ， 只是 近 黄昏 ” — — 以 情 观景 ， 情景 交融!@#以下 诗词 描述 的 景观 适宜 采用 的 欣赏 方法 是 “ 夕阳 无限 好 ， 只是 近 黄昏 ” — — 以 情 观景 ， 情景 交融!@#以下 诗词 描述 的 景观 适宜 采用 的 欣赏 方法 是 “ 夕阳 无限 好 ， 只是 近 黄昏 ” — — 以 情 观景 ， 情景 交融!@#JJ NN VV DEC NN AD VV DEC NN NN VC PU NN AD VA PU AD VV time PU PU PU P NN VV PU NN VV!@#JJ NN VV DEC NN VV VV DEC NN NN VC PU NN AD VA PU AD VV NT PU PU PU P NN VV PU NN VV!@#18!@#18!@#!@#!@#!@#!@#!@#( (IP (IP (NP (CP (IP (NP (ADJP (JJ 以下)) (NP (NN 诗词))) (VP (VV 描述))) (DEC 的)) (CP (IP (NP (NN 景观)) (VP (ADVP (AD 适宜)) (VP (VV 采用)))) (DEC 的)) (NP (NN 欣赏) (NN 方法))) (VP (VC 是) (IP (PU “) (IP (NP (NN 夕阳)) (VP (ADVP (AD 无限)) (VP (VA 好)))) (PU ，) (VP (ADVP (AD 只是)) (VP (VV 近) (NP (NT 黄昏)))) (PU ”)))) (PU —) (IP (VP (LST (PU —)) (VP (PP (P 以) (NP (NN 情))) (VP (VV 观景))))) (PU ，) (NP (NN 情景)) (VP (VV 交融))) )!@#!@#!@#!@#指示_0(“夕阳无限好-只是近黄昏”,以情观景，情景交融)!@#指示!@#0_20-21!@#12-27!@#!@#!@#!@#!@#!@#!@#!@#自定义类别!@#null!@#动词短语!@#10!@#0!@#
11-B!@#以下诗词描述的景观适宜采用的欣赏方法是	“衔远山，吞长江，浩浩荡荡，横无际涯”——把握观赏时机!@#n!@#以下 诗词 描述 的 景观 适宜 采用 的 欣赏 方法 是 “ 衔 远山 ， 吞 长江 ， 浩浩 荡荡 ， 横无 际涯 ” — — 把握 观赏 时机!@#以下 诗词 描述 的 景观 适宜 采用 的 欣赏 方法 是 “ 衔 远山 ， 吞 长江 ， 浩浩 荡荡 ， 横无 际涯 ” — — 把握 观赏 时机!@#以下 诗词 描述 的 景观 适宜 采用 的 欣赏 方法 是 “ 衔 远山 ， 吞 长江 ， 浩浩 荡荡 ， 横无 际涯 ” — — 把握 观赏 时机!@#以下 诗词 描述 的 景观 适宜 采用 的 欣赏 方法 是 “ 衔 远山 ， 吞 长江 ， 浩浩 荡荡 ， 横无 际涯 ” — — 把握 观赏 时机!@#JJ NN VV DEC NN AD VV DEC NN NN VC PU VV NN PU VV loc PU VV VV PU VV NN PU PU PU VV NN NN!@#JJ NN VV DEC NN VV VV DEC NN NN VC PU VV NN PU VV NR PU VV VV PU VV NN PU PU PU VV NN NN!@#!@#!@#16!@#!@#16!@#!@#!@#( (IP (IP (NP (CP (IP (NP (ADJP (JJ 以下)) (NP (NN 诗词))) (VP (VV 描述))) (DEC 的)) (CP (IP (NP (NN 景观)) (VP (ADVP (AD 适宜)) (VP (VV 采用)))) (DEC 的)) (NP (NN 欣赏) (NN 方法))) (VP (VC 是) (IP (PU “) (VP (VP (VV 衔) (NP (NN 远山))) (PU ，) (VP (VV 吞) (NP (NR 长江))) (PU ，) (VP (VCD (VV 浩浩) (VV 荡荡))) (PU ，) (VP (VV 横无) (NP (NN 际涯)))) (PU ”)))) (PU —) (PU —) (VP (VV 把握) (NP (NN 观赏) (NN 时机)))) )!@#!@#!@#!@#指示_0(“衔远山，吞长江，浩浩荡荡，横无际涯”,把握观赏时机)!@#指示!@#0_24-25!@#12-27!@#!@#!@#!@#!@#!@#!@#!@#自定义类别!@#!@#!@#!@#0!@#
11-C!@#以下诗词描述的景观适宜采用的欣赏方法是	“八月潮声吼地来，头高数丈触山回”——低临水面近观!@#n!@#以下 诗词 描述 的 景观 适宜 采用 的 欣赏 方法 是 “ 八月 潮声 吼地 来 ， 头高 数丈 触山回 ” — — 低临 水面 近观!@#以下 诗词 描述 的 景观 适宜 采用 的 欣赏 方法 是 “ 八月 潮声 吼地 来 ， 头高 数丈 触山回 ” — — 低临 水面 近观!@#以下 诗词 描述 的 景观 适宜 采用 的 欣赏 方法 是 “ 八月 潮声 吼地 来 ， 头高 数丈 触山回 ” — — 低临 水面 近观!@#以下 诗词 描述 的 景观 适宜 采用 的 欣赏 方法 是 “ 八月 潮声 吼地 来 ， 头高 数丈 触山回 ” — — 低临 水面 近观!@#JJ NN VV DEC NN AD VV DEC NN NN VC PU NT NN AD VV PU VV NN NN PU PU PU VV NN VV!@#JJ NN VV DEC NN VV VV DEC NN NN VC PU NT NN AD VV PU VV NN NN PU PU PU VV NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (IP (NP (CP (IP (NP (ADJP (JJ 以下)) (NP (NN 诗词))) (VP (VV 描述))) (DEC 的)) (CP (IP (NP (NN 景观)) (VP (ADVP (AD 适宜)) (VP (VV 采用)))) (DEC 的)) (NP (NN 欣赏) (NN 方法))) (VP (VC 是) (IP (PU “) (IP (NP (NT 八月)) (NP (NN 潮声)) (VP (ADVP (AD 吼地)) (VP (VV 来)))) (PU ，) (VP (VV 头高) (NP (NN 数丈) (NN 触山回))) (PU ”)))) (PU —) (PU —) (VP (VP (VV 低临) (NP (NN 水面))) (VP (VV 近观)))) )!@#!@#!@#!@#指示_0(“八月潮声吼地来，头高数丈触山回”,低临水面近观)!@#指示!@#0_21-22!@#12-25!@#!@#!@#!@#!@#!@#!@#!@#自定义类别!@#!@#!@#!@#0!@#
11-D!@#以下诗词描述的景观适宜采用的欣赏方法是	“小荷才露尖尖角，早有蜻蜓立上头”——在适当距离仰视!@#n!@#以下 诗词 描述 的 景观 适宜 采用 的 欣赏 方法 是 “ 小荷 才 露 尖尖角 ， 早 有 蜻蜓 立 上头 ” — — 在 适当 距离 仰视!@#以下 诗词 描述 的 景观 适宜 采用 的 欣赏 方法 是 “ 小荷 才 露 尖尖角 ， 早 有 蜻蜓 立 上头 ” — — 在 适当 距离 仰视!@#以下 诗词 描述 的 景观 适宜 采用 的 欣赏 方法 是 “ 小荷 才 露 尖尖角 ， 早 有 蜻蜓 立 上头 ” — — 在 适当 距离 仰视!@#以下 诗词 描述 的 景观 适宜 采用 的 欣赏 方法 是 “ 小荷 才 露 尖尖角 ， 早 有 蜻蜓 立 上头 ” — — 在 适当 距离 仰视!@#JJ NN VV DEC NN AD VV DEC NN NN VC PU NN AD VV NN PU AD VE NN VV NN PU PU PU P JJ NN VV!@#JJ NN VV DEC NN VV VV DEC NN NN VC PU NN AD VV NN PU AD VE NN VV NN PU PU PU P JJ NN VV!@#!@#!@#!@#!@#!@#!@#!@#( (IP (IP (NP (CP (IP (NP (ADJP (JJ 以下)) (NP (NN 诗词))) (VP (VV 描述))) (DEC 的)) (CP (IP (NP (NN 景观)) (VP (ADVP (AD 适宜)) (VP (VV 采用)))) (DEC 的)) (NP (NN 欣赏) (NN 方法))) (VP (VC 是) (IP (PU “) (NP (NN 小荷)) (VP (VP (ADVP (AD 才)) (VP (VV 露) (NP (NN 尖尖角)))) (PU ，) (VP (ADVP (AD 早)) (VP (VP (VE 有) (NP (NN 蜻蜓))) (VP (VV 立) (NP (NN 上头)))))) (PU ”)))) (PU —) (PU —) (VP (PP (P 在) (NP (ADJP (JJ 适当)) (NP (NN 距离)))) (VP (VV 仰视)))) )!@#!@#!@#!@#指示_0(“小荷才露尖尖角，早有蜻蜓立上头”,在适当距离仰视)!@#指示!@#0_23-24!@#12-28!@#!@#!@#!@#!@#!@#!@#!@#自定义类别!@#!@#!@#!@#0!@#
