编号!@#文本!@#拆分信息!@#（粗粒度）分词!@#（细粒度）分词!@#（auto粗粒度）分词!@#（auto细粒度）分词!@#词性!@#（auto）词性!@#时间!@#（auto）时间!@#地点!@#术语!@#（auto）地点!@#数量词!@#成分分析!@#（auto）成分分析!@#高阶模板!@#高阶模板类型!@#高阶模板线索词!@#二阶模板!@#二阶模板类型!@#二阶模板线索词!@#选项问句!@#（auto）高阶模板!@#（auto）二阶模板!@#（auto）高阶模板线索词!@#(auto)选项问句!@#（auto）二阶模板线索词!@#（auto）高阶模板类型!@#（auto）二阶模板类型!@#选项类别!@#题干前导类型!@#题干核心类型!@#题干核心动词!@#可删除的套话!@#上下文信息
1-A!@#下列关于A、B两地大气状况的叙述，正确的是	气压：A地低于B地!@#None!@#下列 关于 A、B两地 大气 状况 的 叙述 ， 正确 的 是 气压 ： A地 低于 B地!@#下列 关于 A 、 B 两地 大气 状况 的 叙述 ， 正确 的 是 气压 ： A地 低于 B地!@#下列 关于 A 、 B 两 地 大气 状况 的 叙述 ， 正确 的 是 气压 ： A地 低于 B地!@#下列 关于 A 、 B 两 地 大气 状况 的 叙述 ， 正确 的 是 气压 ： A地 低于 B地!@#JJ P loc NN NN DEG NN PU VA DEC VC term PU loc VV loc!@#JJ P NN NN NN DEG NN PU VA DEC VC NN NT NN VV NN!@#!@#!@#2 13 15!@#11!@#!@#!@#!@#( (IP (IP (NP (ADJP (JJ 下列)) (DNP (PP (P 关于) (NP (NP (NR A、B两地) (NN 大气)) (NP (NN 状况)))) (DEG 的)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (NP (NN 气压)))) (PU ：) (NP (NR A地)) (VP (VV 低于) (NP (NR B地)))) )!@#!@#!@#!@#比较_0(A地,气压,B地,气压,低)!@#比较!@#0_14!@#11-15!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#自定义类别!@#自定义类别!@#!@#0-1 5-10!@#2-4
9-D!@#②地种植小麦的不利自然条件不包括	常受寒潮侵袭!@#None!@#②地 种植 小麦 的 不利 自然 条件 不 包括 常 受 寒潮 侵袭!@#②地 种植 小麦 的 不利 自然 条件 不 包括 常 受 寒潮 侵袭!@#②地 种植 小麦 的 不利 自然 条件 不 包括 常 受 寒潮 侵袭!@#②地 种植 小麦 的 不利 自然 条件 不 包括 常 受 寒潮 侵袭!@#loc VV NN DEC JJ NN NN AD VV AD VV term NN!@#NN VV NN DEC JJ NN NN AD VV AD VV NN NN!@#!@#0!@#0!@#11!@#!@#!@#!@#( (IP (NP (NP (NR ②地)) (CP (IP (VP (VV 种植) (NP (NN 小麦)))) (DEC 的)) (ADJP (JJ 不利)) (NP (NN 自然) (NN 条件))) (VP (ADVP (AD 不)) (VP (VV 包括) (VP (ADVP (AD 常)) (VP (VV 受) (NP (NN 寒潮) (NN 侵袭))))))) )!@#!@#!@#!@#指示_0(②地种植小麦的不利自然条件,常受寒潮侵袭)!@#指示!@#0_8!@#0-12!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#!@#7
10-①!@#我国出入境旅游全面繁荣的原因有	旅游资源丰富!@#None!@#我国 出入境 旅游 全面 繁荣 的 原因 有 旅游 资源 丰富!@#我国 出入境 旅游 全面 繁荣 的 原因 有 旅游 资源 丰富!@#我国 出入境 旅游 全面 繁荣 的 原因 有 旅游 资源 丰富!@#我国 出入境 旅游 全面 繁荣 的 原因 有 旅游 资源 丰富!@#NR NN NN AD VA DEC NN VE NN NN VA!@#NR NN NN AD VA DEC NN VE NN NN VA!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (NR 我国) (NN 出入境) (NN 旅游)) (NP (CP (IP (VP (ADVP (AD 全面)) (VP (VA 繁荣)))) (DEC 的)) (NP (NN 原因))) (VP (VE 有) (IP (NP (NN 旅游) (NN 资源)) (VP (VA 丰富))))) )!@#原因_0(我国出入境旅游全面繁荣,旅游资源丰富)!@#原因!@#0_5-6-7!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#null!@#名词短语+动词短语!@#7!@#!@#
10-②!@#我国出入境旅游全面繁荣的原因有	对外开放的力度加大!@#None!@#我国 出入境 旅游 全面 繁荣 的 原因 有 对外 开放 的 力度 加大!@#我国 出入境 旅游 全面 繁荣 的 原因 有 对外 开放 的 力度 加大!@#我国 出入境 旅游 全面 繁荣 的 原因 有 对外 开放 的 力度 加大!@#我国 出入境 旅游 全面 繁荣 的 原因 有 对外 开放 的 力度 加大!@#NR NN NN AD VA DEC NN VE JJ NN DEG NN VV!@#NR NN NN AD VA DEC NN VE JJ NN DEG NN VV!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (NR 我国) (NN 出入境) (NN 旅游)) (NP (CP (IP (VP (ADVP (AD 全面)) (VP (VA 繁荣)))) (DEC 的)) (NP (NN 原因))) (VP (VE 有) (IP (NP (DNP (NP (ADJP (JJ 对外)) (NP (NN 开放))) (DEG 的)) (NP (NN 力度))) (VP (VV 加大))))) )!@#原因_0(我国出入境旅游全面繁荣,对外开放的力度加大)!@#原因!@#0_5-6-7!@#其他陈述_0(,,)!@#其他陈述!@#!@#8-12!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#!@#
10-③!@#我国出入境旅游全面繁荣的原因有	居民收入水平不断提高!@#None!@#我国 出入境 旅游 全面 繁荣 的 原因 有 居民 收入 水平 不断 提高!@#我国 出入境 旅游 全面 繁荣 的 原因 有 居民 收入 水平 不断 提高!@#我国 出入境 旅游 全面 繁荣 的 原因 有 居民 收入 水平 不断 提高!@#我国 出入境 旅游 全面 繁荣 的 原因 有 居民 收入 水平 不断 提高!@#NR NN NN AD VA DEC NN VE NN NN NN AD VV!@#NR NN NN AD VA DEC NN VE NN NN NN AD VV!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (CP (IP (NP (CP (IP (NP (NR 我国) (NN 出入境) (NN 旅游)) (VP (ADVP (AD 全面)) (VP (VA 繁荣)))) (DEC 的)) (NP (NN 原因))) (VP (VE 有) (NP (NN 居民) (NN 收入))))) (NP (NN 水平))) (VP (ADVP (AD 不断)) (VP (VV 提高)))) )!@#原因_0(我国出入境旅游全面繁荣,居民收入水平不断提高)!@#原因!@#0_5-6-7!@#其他陈述_0(,,)!@#其他陈述!@#!@#8-12!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#!@#
10-④!@#我国出入境旅游全面繁荣的原因有	人造景观增多!@#None!@#我国 出入境 旅游 全面 繁荣 的 原因 有 人造 景观 增多!@#我国 出入境 旅游 全面 繁荣 的 原因 有 人造 景观 增多!@#我国 出入境 旅游 全面 繁荣 的 原因 有 人造 景观 增多!@#我国 出入境 旅游 全面 繁荣 的 原因 有 人造 景观 增多!@#NR NN NN AD VA DEC NN VE JJ NN VV!@#NR NN NN AD VA DEC NN VE JJ NN VV!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (NR 我国) (NN 出入境) (NN 旅游)) (NP (CP (IP (VP (ADVP (AD 全面)) (VP (VA 繁荣)))) (DEC 的)) (NP (NN 原因))) (VP (VE 有) (IP (NP (ADJP (JJ 人造)) (NP (NN 景观))) (VP (VV 增多))))) )!@#原因_0(我国出入境旅游全面繁荣,人造景观增多)!@#原因!@#0_5-6-7!@#其他陈述_0(,,)!@#其他陈述!@#!@#8-10!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#!@#
10-⑤!@#我国出入境旅游全面繁荣的原因有	交通运输快速发展!@#None!@#我国 出入境 旅游 全面 繁荣 的 原因 有 交通 运输 快速 发展!@#我国 出入境 旅游 全面 繁荣 的 原因 有 交通 运输 快速 发展!@#我国 出入境 旅游 全面 繁荣 的 原因 有 交通 运输 快速 发展!@#我国 出入境 旅游 全面 繁荣 的 原因 有 交通 运输 快速 发展!@#NR NN NN AD VA DEC NN VE NN NN AD VV!@#NR NN NN AD VA DEC NN VE NN NN AD VV!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (CP (IP (NP (NR 我国) (NN 出入境) (NN 旅游)) (VP (ADVP (AD 全面)) (VP (VA 繁荣)))) (DEC 的)) (NP (NN 原因))) (VP (VE 有) (IP (NP (NN 交通) (NN 运输)) (VP (ADVP (AD 快速)) (VP (VV 发展)))))) )!@#原因_0(我国出入境旅游全面繁荣,交通运输快速发展)!@#原因!@#0_5-6-7!@#其他陈述_0(,,)!@#其他陈述!@#!@#8-11!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#!@#
10-⑥!@#我国出入境旅游全面繁荣的原因有	旅行社增多!@#None!@#我国 出入境 旅游 全面 繁荣 的 原因 有 旅行社 增多!@#我国 出入境 旅游 全面 繁荣 的 原因 有 旅行社 增多!@#我国 出入境 旅游 全面 繁荣 的 原因 有 旅行社 增多!@#我国 出入境 旅游 全面 繁荣 的 原因 有 旅行社 增多!@#NR NN NN AD VA DEC NN VE NN VV!@#NR NN NN AD VA DEC NN VE NN VV!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (NR 我国) (NN 出入境) (NN 旅游)) (NP (CP (IP (VP (ADVP (AD 全面)) (VP (VA 繁荣)))) (DEC 的)) (NP (NN 原因))) (VP (VE 有) (IP (NP (NN 旅行社)) (VP (VV 增多))))) )!@#原因_0(我国出入境旅游全面繁荣,旅行社增多)!@#原因!@#0_5-6-7!@#其他陈述_0(,,)!@#其他陈述!@#!@#8-9!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#!@#
11-A!@#港澳台地区是内地旅游景区的主要客源地，这说明	旅游资源的吸引半径有限!@#None!@#港 澳 台 地区 是 内地 旅游 景区 的 主要 客源地 ， 这 说明 旅游 资源 的 吸引 半径 有限!@#港 澳 台 地区 是 内地 旅游 景区 的 主要 客源地 ， 这 说明 旅游 资源 的 吸引 半径 有限!@#港 澳 台 地区 是 内地 旅游 景区 的 主要 客源地 ， 这 说明 旅游 资源 的 吸引半径 有限!@#港 澳 台 地区 是 内地 旅游 景区 的 主要 客源地 ， 这 说明 旅游 资源 的 吸引半径 有限!@#loc loc loc NN VC NN NN NN DEG JJ NN PU PN VV NN NN DEG JJ NN VA!@#NR NR NR NN VC NN NN NN DEG JJ NN PU PN VV NN NN DEG VV NN VA!@#!@#!@#0 1 2!@#!@#!@#!@#!@#( (IP (IP (NP (NP (NR 港) (NR 澳) (NR 台)) (NP (NN 地区))) (VP (VC 是) (NP (DNP (NP (NN 内地) (NN 旅游) (NN 景区)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 客源地))))) (PU ，) (NP (PN 这)) (VP (VV 说明) (IP (NP (DNP (NP (NN 旅游) (NN 资源)) (DEG 的)) (ADJP (JJ 吸引)) (NP (NN 半径))) (VP (VA 有限))))) )!@#其他关联_0(港澳台地区是内地旅游景区的主要客源地,说明,旅游资源的吸引半径有限)!@#其他关联!@#!@#其他陈述_0(,,)!@#其他陈述!@#!@#14-19!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#陈述句!@#名词短语+动词短语!@#13!@#!@#
11-B!@#港澳台地区是内地旅游景区的主要客源地，这说明	我国各景区接待能力有限!@#None!@#港 澳 台 地区 是 内地 旅游 景区 的 主要 客源地 ， 这 说明 我国 各 景区 接待 能力 有限!@#港 澳 台 地区 是 内地 旅游 景区 的 主要 客源地 ， 这 说明 我国 各 景区 接待 能力 有限!@#港 澳 台 地区 是 内地 旅游 景区 的 主要 客源地 ， 这 说明 我国 各 景区 接待 能力 有限!@#港 澳 台 地区 是 内地 旅游 景区 的 主要 客源地 ， 这 说明 我国 各 景区 接待 能力 有限!@#loc loc loc NN VC NN NN NN DEG JJ NN PU PN VV NR DT NN NN NN VA!@#NR NR NR NN VC NN NN NN DEG JJ NN PU PN VV NR DT NN NN NN VA!@#!@#!@#0 1 2!@#!@#!@#!@#!@#( (IP (IP (NP (NP (NR 港) (NR 澳) (NR 台)) (NP (NN 地区))) (VP (VC 是) (NP (DNP (NP (NN 内地) (NN 旅游) (NN 景区)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 客源地))))) (PU ，) (NP (PN 这)) (VP (VV 说明) (IP (NP (NP (NP (NR 我国)) (DP (DT 各)) (NP (NN 景区))) (NP (NN 接待) (NN 能力))) (VP (VA 有限))))) )!@#其他关联_0(港澳台地区是内地旅游景区的主要客源地,说明,我国各景区接待能力有限)!@#其他关联!@#!@#其他陈述_0(,,)!@#其他陈述!@#!@#14-19!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#!@#
11-C!@#港澳台地区是内地旅游景区的主要客源地，这说明	港澳台地区经济最发达!@#None!@#港 澳 台 地区 是 内地 旅游 景区 的 主要 客源地 ， 这 说明 港 澳 台 地区 经济 最 发达!@#港 澳 台 地区 是 内地 旅游 景区 的 主要 客源地 ， 这 说明 港 澳 台 地区 经济 最 发达!@#港 澳 台 地区 是 内地 旅游 景区 的 主要 客源地 ， 这 说明 港 澳 台 地区 经济 最 发达!@#港 澳 台 地区 是 内地 旅游 景区 的 主要 客源地 ， 这 说明 港 澳 台 地区 经济 最 发达!@#loc loc loc NN VC NN NN NN DEG JJ NN PU PN VV loc loc loc NN NN AD VA!@#NR NR NR NN VC NN NN NN DEG JJ NN PU PN VV NR NR NR NN NN AD VA!@#!@#!@#0 1 2 14 15 16!@#!@#!@#!@#!@#( (IP (IP (NP (NP (NR 港) (NR 澳) (NR 台)) (NP (NN 地区))) (VP (VC 是) (NP (DNP (NP (NN 内地) (NN 旅游) (NN 景区)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 客源地))))) (PU ，) (NP (PN 这)) (VP (VV 说明) (IP (NP (NP (NP (NR 港) (NR 澳) (NR 台)) (NP (NN 地区))) (NP (NN 经济))) (VP (ADVP (AD 最)) (VP (VA 发达)))))) )!@#其他关联_0(港澳台地区是内地旅游景区的主要客源地,说明,港澳台地区经济最发达)!@#其他关联!@#!@#比较_0(港澳台地区,经济,最发达)!@#比较!@#0_19!@#14-20!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#!@#
11-D!@#港澳台地区是内地旅游景区的主要客源地，这说明	港澳台地区与内地环境差异大!@#None!@#港 澳 台 地区 是 内地 旅游 景区 的 主要 客源地 ， 这 说明 港 澳 台 地区 与 内地 环境 差异 大!@#港 澳 台 地区 是 内地 旅游 景区 的 主要 客源地 ， 这 说明 港 澳 台 地区 与 内地 环境 差异 大!@#港 澳 台 地区 是 内地 旅游 景区 的 主要 客源地 ， 这 说明 港 澳 台 地区 与 内地 环境 差异 大!@#港 澳 台 地区 是 内地 旅游 景区 的 主要 客源地 ， 这 说明 港 澳 台 地区 与 内地 环境 差异 大!@#loc loc loc NN VC NN NN NN DEG JJ NN PU PN VV loc loc loc NN CC NN NN NN VA!@#NR NR NR NN VC NN NN NN DEG JJ NN PU PN VV NR NR NR NN CC NN NN NN VA!@#!@#!@#0 1 2 14 15 16!@#!@#!@#!@#!@#( (IP (IP (NP (NP (NR 港) (NR 澳) (NR 台)) (NP (NN 地区))) (VP (VC 是) (NP (DNP (NP (NN 内地) (NN 旅游) (NN 景区)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 客源地))))) (PU ，) (IP (NP (PN 这)) (VP (VV 说明) (IP (NP (NP (NP (NR 港)) (NP (NR 澳) (NR 台)) (NP (NN 地区))) (CC 与) (NP (NN 内地) (NN 环境))) (NP (NN 差异)) (VP (VA 大)))))) )!@#其他关联_0(港澳台地区是内地旅游景区的主要客源地,说明,港澳台地区与内地环境差异大)!@#其他关联!@#!@#比较_0(港澳台地区与内地,环境,差异大)!@#比较!@#0_21-22!@#14-22!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#!@#
12-A!@#甲、乙两农业区共同的区位条件及生产特征是	机械化水平高，集约化经营!@#y!@#甲 、 乙 两 农业区 共同 的 区位 条件 及 生产 特征 是 机械化 水平 高 ， 集约化 经营!@#甲 、 乙 两 农业区 共同 的 区位 条件 及 生产 特征 是 机械化 水平 高 ， 集约化 经营!@#甲 、 乙 两 农业区 共同 的 区位条件 及 生产 特征 是 机械化 水平 高 ， 集约化 经营!@#甲 、 乙 两 农业区 共同 的 区位条件 及 生产 特征 是 机械化 水平 高 ， 集约化 经营!@#NN PU NN CD NN JJ DEG NN NN CC NN NN VC NN NN VA PU JJ NN!@#NN PU NN CD NN JJ DEG NN NN CC NN NN VC NN NN VA PU JJ NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (NP (NN 甲) (PU 、) (NN 乙)) (NP (QP (CD 两)) (NP (NN 农业区))) (DNP (ADJP (JJ 共同)) (DEG 的)) (NP (NN 区位) (NN 条件) (CC 及) (NN 生产) (NN 特征))) (VP (VC 是) (UCP (IP (NP (NN 机械化) (NN 水平)) (VP (VA 高))) (PU ，) (NP (ADJP (JJ 集约化)) (NP (NN 经营)))))) )!@#!@#!@#!@#指示_0(甲、乙两农业区共同的区位条件及生产特征,机械化水平高，集约化经营)!@#指示!@#0_12!@#0-18!@#!@#!@#!@#!@#!@#!@#!@#自定义类别!@#null!@#名词短语+动词短语!@#12!@#!@#
12-A-0!@#甲、乙两农业区共同的区位条件及生产特征是	机械化水平高!@#ed-ori!@#甲 、 乙 两 农业区 共同 的 区位 条件 及 生产 特征 是 机械化 水平 高!@#甲 、 乙 两 农业区 共同 的 区位 条件 及 生产 特征 是 机械化 水平 高!@#甲 、 乙 两 农业区 共同 的 区位条件 及 生产 特征 是 机械化 水平 高!@#甲 、 乙 两 农业区 共同 的 区位条件 及 生产 特征 是 机械化 水平 高!@#NN PU NN CD NN JJ DEG NN NN CC NN NN VC NN NN VA!@#NN PU NN CD NN JJ DEG NN NN CC NN NN VC NN NN VA!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (NP (NN 甲) (PU 、) (NN 乙)) (NP (QP (CD 两)) (NP (NN 农业区))) (DNP (ADJP (JJ 共同)) (DEG 的)) (NP (NN 区位) (NN 条件) (CC 及) (NN 生产) (NN 特征))) (VP (VC 是) (IP (NP (NN 机械化) (NN 水平)) (VP (VA 高))))) )!@#!@#!@#!@#指示_0(甲、乙两农业区共同的区位条件及生产特征,机械化水平高)!@#指示!@#0_12!@#0-15!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#!@#
12-A-1!@#甲、乙两农业区共同的区位条件及生产特征是	集约化经营!@#ed-ori!@#甲 、 乙 两 农业区 共同 的 区位 条件 及 生产 特征 是 集约化 经营!@#甲 、 乙 两 农业区 共同 的 区位 条件 及 生产 特征 是 集约化 经营!@#甲 、 乙 两 农业区 共同 的 区位条件 及 生产 特征 是 集约化 经营!@#甲 、 乙 两 农业区 共同 的 区位条件 及 生产 特征 是 集约化 经营!@#NN PU NN CD NN JJ DEG NN NN CC NN NN VC JJ NN!@#NN PU NN CD NN JJ DEG NN NN CC NN NN VC JJ NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (NP (NN 甲) (PU 、) (NN 乙)) (NP (QP (CD 两)) (NP (NN 农业区))) (DNP (ADJP (JJ 共同)) (DEG 的)) (NP (NN 区位) (NN 条件) (CC 及) (NN 生产) (NN 特征))) (VP (VC 是) (NP (ADJP (JJ 集约化)) (NP (NN 经营))))) )!@#!@#!@#!@#指示_0(甲、乙两农业区共同的区位条件及生产特征,集约化经营)!@#指示!@#0_12!@#0-14!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#!@#
12-B!@#甲、乙两农业区共同的区位条件及生产特征是	劳动力充足，单位面积产量大!@#y!@#甲 、 乙 两 农业区 共同 的 区位 条件 及 生产 特征 是 劳动力 充足 ， 单位 面积 产量 大!@#甲 、 乙 两 农业区 共同 的 区位 条件 及 生产 特征 是 劳动力 充足 ， 单位 面积 产量 大!@#甲 、 乙 两 农业区 共同 的 区位条件 及 生产 特征 是 劳动力 充足 ， 单位 面积 产量 大!@#甲 、 乙 两 农业区 共同 的 区位条件 及 生产 特征 是 劳动力 充足 ， 单位 面积 产量 大!@#NN PU NN CD NN JJ DEG NN NN CC NN NN VC NN VA PU NN NN NN VA!@#NN PU NN CD NN JJ DEG NN NN CC NN NN VC NN VA PU NN NN NN VA!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (NP (NN 甲) (PU 、) (NN 乙)) (NP (QP (CD 两)) (NP (NN 农业区))) (DNP (ADJP (JJ 共同)) (DEG 的)) (NP (NN 区位) (NN 条件) (CC 及) (NN 生产) (NN 特征))) (VP (VC 是) (IP (IP (NP (NN 劳动力)) (VP (VA 充足))) (PU ，) (IP (NP (NN 单位) (NN 面积) (NN 产量)) (VP (VA 大)))))) )!@#!@#!@#!@#指示_0(甲、乙两农业区共同的区位条件及生产特征,劳动力充足，单位面积产量大)!@#指示!@#0_12!@#0-19!@#!@#!@#!@#!@#!@#!@#!@#自定义类别!@#!@#!@#!@#!@#
12-B-0!@#甲、乙两农业区共同的区位条件及生产特征是	劳动力充足!@#ed-ori!@#甲 、 乙 两 农业区 共同 的 区位 条件 及 生产 特征 是 劳动力 充足!@#甲 、 乙 两 农业区 共同 的 区位 条件 及 生产 特征 是 劳动力 充足!@#甲 、 乙 两 农业区 共同 的 区位条件 及 生产 特征 是 劳动力 充足!@#甲 、 乙 两 农业区 共同 的 区位条件 及 生产 特征 是 劳动力 充足!@#CD PU NN CD NN JJ DEG NN NN CC NN NN VC NN VA!@#NN PU NN CD NN JJ DEG NN NN CC NN NN VC NN VA!@#!@#!@#!@#!@#!@#!@#!@#( (IP (LST (CD 甲)) (PU 、) (NP (NP (NP (NN 乙)) (QP (CD 两)) (NP (NN 农业区))) (DNP (ADJP (JJ 共同)) (DEG 的)) (NP (NN 区位) (NN 条件) (CC 及) (NN 生产) (NN 特征))) (VP (VC 是) (IP (NP (NN 劳动力)) (VP (VA 充足))))) )!@#!@#!@#!@#指示_0(甲、乙两农业区共同的区位条件及生产特征,劳动力充足)!@#指示!@#0_12!@#0-14!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#!@#
12-B-1!@#甲、乙两农业区共同的区位条件及生产特征是	单位面积产量大!@#ed-ori!@#甲 、 乙 两 农业区 共同 的 区位 条件 及 生产 特征 是 单位 面积 产量 大!@#甲 、 乙 两 农业区 共同 的 区位 条件 及 生产 特征 是 单位 面积 产量 大!@#甲 、 乙 两 农业区 共同 的 区位条件 及 生产 特征 是 单位 面积 产量 大!@#甲 、 乙 两 农业区 共同 的 区位条件 及 生产 特征 是 单位 面积 产量 大!@#CD PU NN CD NN JJ DEG NN NN CC NN NN VC NN NN NN VA!@#NN PU NN CD NN JJ DEG NN NN CC NN NN VC NN NN NN VA!@#!@#!@#!@#!@#!@#!@#!@#( (IP (LST (CD 甲)) (PU 、) (NP (NP (NP (NN 乙)) (QP (CD 两)) (NP (NN 农业区))) (DNP (ADJP (JJ 共同)) (DEG 的)) (NP (NN 区位) (NN 条件) (CC 及) (NN 生产) (NN 特征))) (VP (VC 是) (IP (NP (NN 单位) (NN 面积) (NN 产量)) (VP (VA 大))))) )!@#!@#!@#!@#指示_0(甲、乙两农业区共同的区位条件及生产特征,单位面积产量大)!@#指示!@#0_12!@#0-16!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#!@#
12-C!@#甲、乙两农业区共同的区位条件及生产特征是	人少地多，产品商品率高!@#y!@#甲 、 乙 两 农业区 共同 的 区位 条件 及 生产 特征 是 人 少 地 多 ， 产品 商品率 高!@#甲 、 乙 两 农业区 共同 的 区位 条件 及 生产 特征 是 人 少 地 多 ， 产品 商品率 高!@#甲 、 乙 两 农业区 共同 的 区位条件 及 生产 特征 是 人 少 地 多 ， 产品 商品率 高!@#甲 、 乙 两 农业区 共同 的 区位条件 及 生产 特征 是 人 少 地 多 ， 产品 商品率 高!@#CD PU NN CD NN JJ DEG NN NN CC NN NN VC NN VA NN VA PU NN NN VA!@#NN PU NN CD NN JJ DEG NN NN CC NN NN VC NN VA NN VA PU NN NN VA!@#!@#!@#!@#!@#!@#!@#!@#( (IP (LST (CD 甲)) (PU 、) (NP (NP (NP (NN 乙)) (QP (CD 两)) (NP (NN 农业区))) (DNP (ADJP (JJ 共同)) (DEG 的)) (NP (NN 区位) (NN 条件) (CC 及) (NN 生产) (NN 特征))) (VP (VC 是) (IP (IP (NP (NN 人)) (VP (VA 少))) (IP (NP (NN 地)) (VP (VA 多))) (PU ，) (IP (NP (NN 产品) (NN 商品率)) (VP (VA 高)))))) )!@#!@#!@#!@#指示_0(甲、乙两农业区共同的区位条件及生产特征,人少地多，产品商品率高)!@#指示!@#0_12!@#0-20!@#!@#!@#!@#!@#!@#!@#!@#自定义类别!@#!@#!@#!@#!@#
12-C-0!@#甲、乙两农业区共同的区位条件及生产特征是	人少地多!@#ed-ori!@#甲 、 乙 两 农业区 共同 的 区位 条件 及 生产 特征 是 人 少 地 多!@#甲 、 乙 两 农业区 共同 的 区位 条件 及 生产 特征 是 人 少 地 多!@#甲 、 乙 两 农业区 共同 的 区位条件 及 生产 特征 是 人 少 地 多!@#甲 、 乙 两 农业区 共同 的 区位条件 及 生产 特征 是 人 少 地 多!@#CD PU NN CD NN JJ DEG NN NN CC NN NN VC NN VA NN VA!@#NN PU NN CD NN JJ DEG NN NN CC NN NN VC NN VA NN VA!@#!@#!@#!@#!@#!@#!@#!@#( (IP (LST (CD 甲)) (PU 、) (NP (NP (NP (NN 乙)) (QP (CD 两)) (NP (NN 农业区))) (DNP (ADJP (JJ 共同)) (DEG 的)) (NP (NN 区位) (NN 条件) (CC 及) (NN 生产) (NN 特征))) (VP (VC 是) (IP (IP (NP (NN 人)) (VP (VA 少))) (IP (NP (NN 地)) (VP (VA 多)))))) )!@#!@#!@#!@#指示_0(甲、乙两农业区共同的区位条件及生产特征,人少地多)!@#指示!@#0_12!@#0-16!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#!@#
12-C-1!@#甲、乙两农业区共同的区位条件及生产特征是	产品商品率高!@#ed-ori!@#甲 、 乙 两 农业区 共同 的 区位 条件 及 生产 特征 是 产品 商品率 高!@#甲 、 乙 两 农业区 共同 的 区位 条件 及 生产 特征 是 产品 商品率 高!@#甲 、 乙 两 农业区 共同 的 区位条件 及 生产 特征 是 产品 商品率 高!@#甲 、 乙 两 农业区 共同 的 区位条件 及 生产 特征 是 产品 商品率 高!@#CD PU NN CD NN JJ DEG NN NN CC NN NN VC NN NN VA!@#NN PU NN CD NN JJ DEG NN NN CC NN NN VC NN NN VA!@#!@#!@#!@#!@#!@#!@#!@#( (IP (LST (CD 甲)) (PU 、) (NP (NP (NP (NN 乙)) (QP (CD 两)) (NP (NN 农业区))) (DNP (ADJP (JJ 共同)) (DEG 的)) (NP (NN 区位) (NN 条件) (CC 及) (NN 生产) (NN 特征))) (VP (VC 是) (IP (NP (NN 产品) (NN 商品率)) (VP (VA 高))))) )!@#!@#!@#!@#指示_0(甲、乙两农业区共同的区位条件及生产特征,产品商品率高)!@#指示!@#0_12!@#0-15!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#!@#
